"yellow onions",Produce
"kellogg corn pops",5
"eggo waffles",12
"walkers pure butter shortbread",3
pecans,4
"kraft yellow velveeta slices",13
"nabisco oreo pie crust",4
strawberries,12
milk,"Back Wall"
"bag of mixed candy for you to take to church",2
"frozen raspberries",12
"kahiki orange chicken",12
peas,12
"bag of potatoes",Produce
relish,2
"sara lee artesano",11
chili,2
"green giant peas",12
"two cheese pizza blend shredded cheese",13
"cool whip",13
"training bites",8
"clog remover",9
"raspberry or pink lemonade","Back Wall"
bread,11
"beneful beef",8
"mexican shredded cheese",13
"cheeze balls",2
"diced tomatoes",4
"lima beans, frozen bag",12
"martin's rolls",11
"iceberg lettuce",Produce
"biscuits in can",13
"butterscotch pudding mix",4
"hot italian sausage",Meat
"diet root beer",6
"greek dressing",2
"hormel pepperoni sliced",Meat
"jell-o temptations lemon meringue",13
